Field.Notebook,Image,Field.Number,Genus,Sex,SVL ,Total,Stream.Distance,Habitat,Development ,Larval.Period,Microhabitat,Date.Collected,Month.Collected,Time.Collected,Elevation,Elevation.Range,Site.Description,Date Preserved,Notes,Location
267,16,CD 5006,Desmognathus fuscus,female,33.5,68,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5009,Desmognathus fuscus,female,34,63,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5004,Desmognathus fuscus,male,37,72,0,Semi,biphasic ,14.5,stream,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,CD50045012 all collected under rocks in spring water temp 10C,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5007,Desmognathus fuscus,female,44,87.5,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5010,Desmognathus fuscus,female,44.5,80,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5008,Desmognathus fuscus,male,45.5,89,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5012,Desmognathus fuscus,female,46.5,87,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5011,Desmognathus fuscus,female,47.5,87,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5005,Desmognathus fuscus,female,52,88,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,CD 5013,Desmognathus fuscus,female,52,95,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,CD 5014,Desmognathus fuscus,male,59,110,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,CD 5015,Desmognathus fuscus,male,62.5,115.5,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,48,CD 5137,Desmognathus fuscus,male,29,53.5,,Semi,biphasic ,14.5,,7/5/57,July,11:00pm,5425,5425,1000ft north of end of toll road,,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,46,CD 5135,Desmognathus fuscus,male,42.5,81.5,,Semi,biphasic ,14.5,,7/5/57,July,11:00pm,5425,5425,1000ft north of end of toll road,,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,48,CD 5136,Desmognathus fuscus,female,45,89,,Semi,biphasic ,14.5,,7/5/57,July,11:00pm,5425,5425,1000ft north of end of toll road,,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,46,CD 5134,Desmognathus fuscus,male,55.5,95,,Semi,biphasic ,14.5,,7/5/57,July,11:00pm,5425,5425,1000ft north of end of toll road,,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,58,CD 5184,Desmognathus fuscus,male,41.5,,0,Semi,biphasic ,14.5,stream,7/10/57,July,,5075,5075 ±25,"Beech maple forest with a few spruce. Water temp 13C, airtemp over water 15C, ground temp 17C, air temp 17.4C (20ft from H2O), humidity over water 66/57, humidity in woods 65/58",,stream,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,60,CD 5200,Desmognathus fuscus,female,43.5,79.5,1,Semi,biphasic ,14.5,stream bank,7/10/57,July,,4775,4775 ±25,Beech maple forest,,streambank; in log under bark and moss,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,60,CD 5199,Desmognathus fuscus,female,49,76,0,Semi,biphasic ,14.5,stream,7/10/57,July,,4775,4775 ±25,Beech maple forest,,stream,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,60,CD 5201,Desmognathus fuscus,male,58,103.5,10,Semi,biphasic ,14.5,,7/10/57,July,,4775,4775 ±25,Beech maple forest,,,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5478,Desmognathus fuscus,male,32,56.5,20,Semi,biphasic ,14.5,,7/18/57,July,,4700,4700 ±25,,,,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5479,Desmognathus fuscus,male,36.5,66,20,Semi,biphasic ,14.5,,7/18/57,July,,4700,4700 ±25,,,,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5471,Desmognathus fuscus,female,38.5,71,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5472,Desmognathus fuscus,male,42,81.5,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5473,Desmognathus fuscus,female,45.5,85.5,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5470,Desmognathus fuscus,male,46.5,,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
